DATE,PQRs
2023-05-21,15
2023-05-22,20
2023-05-23,157
2023-05-24,176
2023-05-25,157
2023-05-26,124
2023-05-27,44
2023-05-28,11
2023-05-29,176
2023-05-30,202
2023-05-31,167
2023-06-01,144
2023-06-02,161
2023-06-03,41
2023-06-04,20
2023-06-05,176
2023-06-06,197
2023-06-07,186
2023-06-08,157
2023-06-09,141
2023-06-10,29
2023-06-11,10
2023-06-12,18
2023-06-13,150
2023-06-14,179
2023-06-15,163
2023-06-16,168
2023-06-17,46
2023-06-18,12
2023-06-19,18
2023-06-20,166
2023-06-21,164
2023-06-22,162
2023-06-23,146
2023-06-24,45
2023-06-25,15
2023-06-26,179
2023-06-27,202
2023-06-28,192
2023-06-29,158
2023-06-30,171
